iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[bps],bps/user
58,,,2076192,4.992381007,35000000,3.525967559,1.2,1885042599,907.9326958
59,,,2076192,4.992387185,35000000,3.525430855,1.2,1885073524,907.9475904
60,,,2076192,4.992393138,35000000,3.525243674,1.2,1885073004,907.9473401
61,,,2076192,4.992399059,35000000,3.524385346,1.2,1885055631,907.9389722
62,,,2076192,4.992404899,35000000,3.520684093,1.2,1885029317,907.9262982
63,,,2076192,4.992410439,35000000,3.514867734,1.2,1882655028,906.7827195
64,,,2076192,4.992416128,35000000,3.514938409,1.2,1886135952,908.45931
65,,,2076192,4.992421627,35000000,3.51333661,1.2,1886100982,908.4424668
66,,,2076192,4.992427141,35000000,3.51314514,1.2,1882600652,906.7565293
67,,,2076192,4.992432224,35000000,3.510562934,1.2,1882659944,906.7850873
68,,,2076192,4.992437132,35000000,3.507543461,1.2,1880314723,905.6555091
69,,,2076192,4.992442277,35000000,3.501374571,1.2,1880339059,905.6672306
70,,,2076192,4.992448271,35000000,3.496646847,1.2,1882708508,906.8084781
71,,,2076192,4.992454251,35000000,3.494929952,1.2,1881526270,906.2390521
72,,,2076192,4.992460072,35000000,3.496520999,1.2,1875743142,903.4536025
73,,,2076192,4.992465643,35000000,3.497263693,1.2,1881511014,906.2317042
74,,,2076192,4.992471597,35000000,3.495535392,1.2,1875722494,903.4436574
75,,,2076192,4.992477506,35000000,3.492832388,1.2,1875704034,903.4347659
76,,,2076192,4.992482951,35000000,3.493259007,1.2,1875681709,903.4240132
77,,,2076192,4.992487919,35000000,3.494646673,1.2,1875667824,903.4173256
78,,,2076192,4.992492196,35000000,3.495095383,1.2,1879082387,905.0619536
79,,,2076192,4.992496246,35000000,3.487915635,1.2,1881431966,906.1936305
