iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
3,,,304677.0,5.000000000000001,35000000.0,15.863264166557116,3.8953052618927955,363299764.01410484,1192.4095485189391
,3,0,3313.0,0.6249999999999972,11666666.666666666,16.224705717681903,3.9740633758828867,46364072.718633674,13994.588807314722,43.7,143.6,12,183.1924253684002,0
,3,1,6331.0,0.6249999999999999,11666666.666666666,16.07580320972715,3.9416175193995464,45985537.72632804,7263.550422733855,41.8,140.7,12,183.51980796816517,1
,3,2,46657.0,0.6249999999999971,11666666.666666666,16.05556719506612,3.9372080918049077,45934094.40439059,984.5059563278949,38.5,140.7,12,183.73432244603094,2
,3,3,90560.0,0.6250000000000021,11666666.666666666,15.273917838232133,3.766886696950782,43947011.46442579,485.28060362660983,36.2,139.0,12,183.8146724662094,0
,3,4,48780.0,0.6250000000000037,11666666.666666666,15.333719564232272,3.779917493046212,44099037.41887247,904.0393074799604,35.8,136.7,12,183.23946611880635,1
,3,5,72745.0,0.6249999999999998,11666666.666666666,16.04195910735782,3.9342428894932686,45899500.37742146,630.9643326334657,34.5,134.4,12,183.5553370705314,2
,3,6,16424.0,0.6250000000000007,11666666.666666666,15.755721500997204,3.8718717150672908,45171836.67578506,2750.355374804253,34.1,131.9,12,183.48435872681142,0
,3,7,19867.0,0.6249999999999999,11666666.666666666,16.0416337356249,3.9341719909926653,45898673.22824776,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
4,,,304677.0,5.0,35000000.0,15.863264166557116,3.8953052618927955,363299764.01410484,1192.4095485189391
,4,0,3313.0,0.6249999999999953,11666666.666666666,16.224705717681893,3.9740633758828845,46364072.71863365,13994.588807314716,43.7,143.6,12,183.1924253684002,0
,4,1,6331.0,0.625,11666666.666666666,16.07580320972715,3.9416175193995464,45985537.72632804,7263.550422733855,41.8,140.7,12,183.51980796816517,1
,4,2,46657.0,0.6249999999999959,11666666.666666666,16.055567195066114,3.9372080918049064,45934094.40439057,984.5059563278945,38.5,140.7,12,183.73432244603094,2
,4,3,90560.0,0.625000000000003,11666666.666666666,15.27391783823214,3.7668866969507833,43947011.4644258,485.28060362661,36.2,139.0,12,183.8146724662094,0
,4,4,48780.0,0.6250000000000048,11666666.666666666,15.333719564232277,3.7799174930462134,44099037.41887249,904.0393074799608,35.8,136.7,12,183.23946611880635,1
,4,5,72745.0,0.6249999999999996,11666666.666666666,16.04195910735782,3.9342428894932686,45899500.37742146,630.9643326334657,34.5,134.4,12,183.5553370705314,2
,4,6,16424.0,0.6250000000000012,11666666.666666666,15.755721500997206,3.871871715067291,45171836.675785065,2750.3553748042536,34.1,131.9,12,183.48435872681142,0
,4,7,19867.0,0.6250000000000003,11666666.666666666,16.0416337356249,3.9341719909926653,45898673.22824776,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
5,,,304677.0,4.999999999999999,35000000.0,15.863264166557114,3.895305261892795,363299764.0141048,1192.4095485189391
,5,0,3313.0,0.624999999999995,11666666.666666666,16.224705717681886,3.9740633758828827,46364072.71863363,13994.588807314709,43.7,143.6,12,183.1924253684002,0
,5,1,6331.0,0.6249999999999993,11666666.666666666,16.075803209727145,3.9416175193995446,45985537.726328015,7263.5504227338515,41.8,140.7,12,183.51980796816517,1
,5,2,46657.0,0.6249999999999951,11666666.666666666,16.05556719506611,3.9372080918049055,45934094.40439056,984.5059563278942,38.5,140.7,12,183.73432244603094,2
,5,3,90560.0,0.6250000000000038,11666666.666666666,15.273917838232144,3.766886696950784,43947011.46442581,485.2806036266101,36.2,139.0,12,183.8146724662094,0
,5,4,48780.0,0.625000000000006,11666666.666666666,15.33371956423229,3.779917493046216,44099037.41887252,904.0393074799615,35.8,136.7,12,183.23946611880635,1
,5,5,72745.0,0.6249999999999984,11666666.666666666,16.041959107357812,3.9342428894932673,45899500.377421446,630.9643326334655,34.5,134.4,12,183.5553370705314,2
,5,6,16424.0,0.6250000000000016,11666666.666666666,15.755721500997208,3.8718717150672917,45171836.675785065,2750.3553748042536,34.1,131.9,12,183.48435872681142,0
,5,7,19867.0,0.6250000000000003,11666666.666666666,16.0416337356249,3.9341719909926653,45898673.22824776,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
6,,,304677.0,5.0,35000000.0,15.863264166557114,3.895305261892795,363299764.0141048,1192.4095485189391
,6,0,3313.0,0.624999999999994,11666666.666666666,16.22470571768188,3.9740633758828814,46364072.718633614,13994.588807314703,43.7,143.6,12,183.1924253684002,0
,6,1,6331.0,0.6249999999999987,11666666.666666666,16.075803209727137,3.9416175193995433,45985537.726328,7263.55042273385,41.8,140.7,12,183.51980796816517,1
,6,2,46657.0,0.6249999999999938,11666666.666666666,16.0555671950661,3.9372080918049033,45934094.404390536,984.5059563278937,38.5,140.7,12,183.73432244603094,2
,6,3,90560.0,0.6250000000000033,11666666.666666666,15.273917838232142,3.7668866969507837,43947011.46442581,485.2806036266101,36.2,139.0,12,183.8146724662094,0
,6,4,48780.0,0.6250000000000089,11666666.666666666,15.33371956423231,3.77991749304622,44099037.418872565,904.0393074799624,35.8,136.7,12,183.23946611880635,1
,6,5,72745.0,0.6249999999999976,11666666.666666666,16.041959107357805,3.9342428894932655,45899500.37742143,630.9643326334652,34.5,134.4,12,183.5553370705314,2
,6,6,16424.0,0.6250000000000023,11666666.666666666,15.755721500997215,3.871871715067293,45171836.67578508,2750.3553748042546,34.1,131.9,12,183.48435872681142,0
,6,7,19867.0,0.6250000000000009,11666666.666666666,16.0416337356249,3.9341719909926653,45898673.22824776,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
7,,,304677.0,5.0,35000000.0,15.863264166557114,3.895305261892795,363299764.01410484,1192.4095485189391
,7,0,3313.0,0.6249999999999923,11666666.666666666,16.224705717681868,3.974063375882879,46364072.718633585,13994.588807314694,43.7,143.6,12,183.1924253684002,0
,7,1,6331.0,0.624999999999998,11666666.666666666,16.07580320972713,3.941617519399542,45985537.726327986,7263.550422733847,41.8,140.7,12,183.51980796816517,1
,7,2,46657.0,0.6249999999999936,11666666.666666666,16.0555671950661,3.9372080918049033,45934094.404390536,984.5059563278937,38.5,140.7,12,183.73432244603094,2
,7,3,90560.0,0.6250000000000038,11666666.666666666,15.273917838232148,3.766886696950785,43947011.464425825,485.28060362661023,36.2,139.0,12,183.8146724662094,0
,7,4,48780.0,0.6250000000000118,11666666.666666666,15.333719564232329,3.7799174930462245,44099037.41887262,904.0393074799634,35.8,136.7,12,183.23946611880635,1
,7,5,72745.0,0.6249999999999966,11666666.666666666,16.041959107357798,3.934242889493264,45899500.37742142,630.9643326334651,34.5,134.4,12,183.5553370705314,2
,7,6,16424.0,0.6250000000000024,11666666.666666666,15.755721500997213,3.8718717150672926,45171836.67578508,2750.3553748042546,34.1,131.9,12,183.48435872681142,0
,7,7,19867.0,0.6250000000000016,11666666.666666666,16.041633735624902,3.9341719909926662,45898673.22824777,2310.2971373759383,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
8,,,304677.0,5.0,35000000.0,15.863264166557114,3.895305261892795,363299764.01410484,1192.4095485189391
,8,0,3313.0,0.6249999999999901,11666666.666666666,16.224705717681854,3.974063375882876,46364072.718633555,13994.588807314685,43.7,143.6,12,183.1924253684002,0
,8,1,6331.0,0.6249999999999971,11666666.666666666,16.075803209727123,3.94161751939954,45985537.72632796,7263.550422733843,41.8,140.7,12,183.51980796816517,1
,8,2,46657.0,0.6249999999999939,11666666.666666666,16.055567195066104,3.937208091804904,45934094.40439054,984.5059563278938,38.5,140.7,12,183.73432244603094,2
,8,3,90560.0,0.6250000000000047,11666666.666666666,15.273917838232157,3.766886696950787,43947011.46442585,485.2806036266105,36.2,139.0,12,183.8146724662094,0
,8,4,48780.0,0.6250000000000147,11666666.666666666,15.333719564232348,3.779917493046229,44099037.41887267,904.0393074799646,35.8,136.7,12,183.23946611880635,1
,8,5,72745.0,0.6249999999999953,11666666.666666666,16.04195910735779,3.9342428894932624,45899500.377421394,630.9643326334648,34.5,134.4,12,183.5553370705314,2
,8,6,16424.0,0.6250000000000018,11666666.666666666,15.755721500997208,3.8718717150672917,45171836.675785065,2750.3553748042536,34.1,131.9,12,183.48435872681142,0
,8,7,19867.0,0.6250000000000031,11666666.666666666,16.041633735624913,3.9341719909926685,45898673.2282478,2310.29713737594,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
9,,,304677.0,4.999999999999999,35000000.0,15.863264166557112,3.8953052618927946,363299764.0141048,1192.4095485189391
,9,0,3313.0,0.6249999999999886,11666666.666666666,16.22470571768184,3.974063375882873,46364072.71863352,13994.588807314674,43.7,143.6,12,183.1924253684002,0
,9,1,6331.0,0.6249999999999962,11666666.666666666,16.075803209727113,3.941617519399538,45985537.72632794,7263.55042273384,41.8,140.7,12,183.51980796816517,1
,9,2,46657.0,0.6249999999999933,11666666.666666666,16.055567195066104,3.937208091804904,45934094.40439054,984.5059563278938,38.5,140.7,12,183.73432244603094,2
,9,3,90560.0,0.6250000000000053,11666666.666666666,15.273917838232165,3.766886696950789,43947011.46442587,485.28060362661074,36.2,139.0,12,183.8146724662094,0
,9,4,48780.0,0.625000000000017,11666666.666666666,15.333719564232362,3.7799174930462316,44099037.4188727,904.0393074799651,35.8,136.7,12,183.23946611880635,1
,9,5,72745.0,0.6249999999999934,11666666.666666666,16.041959107357776,3.9342428894932593,45899500.37742136,630.9643326334642,34.5,134.4,12,183.5553370705314,2
,9,6,16424.0,0.625,11666666.666666666,15.755721500997195,3.871871715067289,45171836.675785035,2750.355374804252,34.1,131.9,12,183.48435872681142,0
,9,7,19867.0,0.6250000000000056,11666666.666666666,16.041633735624924,3.934171990992671,45898673.22824783,2310.2971373759415,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
10,,,304677.0,5.0,35000000.0,15.863264166557109,3.895305261892794,363299764.0141048,1192.4095485189391
,10,0,3313.0,0.6249999999999865,11666666.666666666,16.224705717681825,3.97406337588287,46364072.71863348,13994.588807314663,43.7,143.6,12,183.1924253684002,0
,10,1,6331.0,0.6249999999999953,11666666.666666666,16.075803209727106,3.941617519399536,45985537.72632792,7263.550422733836,41.8,140.7,12,183.51980796816517,1
,10,2,46657.0,0.6249999999999928,11666666.666666666,16.0555671950661,3.9372080918049033,45934094.404390536,984.5059563278937,38.5,140.7,12,183.73432244603094,2
,10,3,90560.0,0.6250000000000058,11666666.666666666,15.273917838232169,3.7668866969507895,43947011.46442588,485.28060362661085,36.2,139.0,12,183.8146724662094,0
,10,4,48780.0,0.6250000000000197,11666666.666666666,15.333719564232378,3.779917493046235,44099037.418872744,904.039307479966,35.8,136.7,12,183.23946611880635,1
,10,5,72745.0,0.6249999999999917,11666666.666666666,16.041959107357766,3.934242889493257,45899500.37742133,630.9643326334639,34.5,134.4,12,183.5553370705314,2
,10,6,16424.0,0.6249999999999991,11666666.666666666,15.75572150099719,3.8718717150672877,45171836.67578502,2750.355374804251,34.1,131.9,12,183.48435872681142,0
,10,7,19867.0,0.6250000000000087,11666666.666666666,16.041633735624945,3.9341719909926756,45898673.22824788,2310.297137375944,31.9,130.2,12,183.80015252764147,1

