latitude,longitude,beam_radius,color,i,sat_radius,
28.37473475,125,45,2,4,50,147
28.75971748,125.6,45,3,4,50,148
29.1447002,126.2,45,1,4,50,149
29.52968293,126.8,45,2,4,50,150
29.91466566,127.4,45,3,4,50,151
30.29964838,128,45,1,4,50,152
30.68463111,128.6,45,2,4,50,153
31.06961384,129.2,45,3,4,50,154
31.45459656,129.8,45,1,4,50,155
31.83957929,130.4,45,2,4,50,156
32.22456202,131,45,3,4,50,157
32.60954474,131.6,45,1,4,50,158
32.99452747,132.2,45,2,4,50,159
33.3795102,132.8,45,3,4,50,160
33.76449293,133.4,45,1,4,50,161
34.14947565,134,45,2,4,50,162
34.53445838,134.6,45,3,4,50,163
34.91944111,135.2,45,1,4,50,164
35.30442383,135.8,45,2,4,50,165
35.68940656,136.4,45,3,4,50,166
36.07438929,137,45,1,4,50,167
36.45937201,137.6,45,2,4,50,168
36.84435474,138.2,45,3,4,50,169
37.22933747,138.8,45,1,4,50,170
37.61432019,139.4,45,2,4,50,171
37.99930292,140,45,3,4,50,172
38.38428565,140.6,45,1,4,50,173
38.76926837,141.2,45,2,4,50,174
39.1542511,141.8,45,3,4,50,175
39.53923383,142.4,45,1,4,50,176
39.92421655,143,45,2,4,50,177
40.30919928,143.6,45,3,4,50,178
40.69418201,144.2,45,1,4,50,179
41.07916473,144.8,45,2,4,50,180
41.46414746,145.4,45,3,4,50,181
41.84913019,146,45,1,4,50,182
31.43061332,122,45,1,5,50,183
31.61137863,122.6,45,2,5,50,184
31.79214394,123.2,45,3,5,50,185
31.97290925,123.8,45,1,5,50,186
32.15367456,124.4,45,2,5,50,187
32.33443988,125,45,3,5,50,188
32.51520519,125.6,45,1,5,50,189
32.6959705,126.2,45,2,5,50,190
32.87673581,126.8,45,3,5,50,191
33.05750112,127.4,45,1,5,50,192
33.23826643,128,45,2,5,50,193
33.41903174,128.6,45,3,5,50,194
33.59979705,129.2,45,1,5,50,195
33.78056237,129.8,45,2,5,50,196
33.96132768,130.4,45,3,5,50,197
34.14209299,131,45,1,5,50,198
34.3228583,131.6,45,2,5,50,199
34.50362361,132.2,45,3,5,50,200
34.68438892,132.8,45,1,5,50,201
34.86515423,133.4,45,2,5,50,202
35.04591955,134,45,1,5,50,203
35.22668486,134.6,45,2,5,50,204
35.40745017,135.2,45,3,5,50,205
