iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
,3,7,19867.0,0.07500000000000002,11666666.666666666,7.646675988780787,2.1049106979553334,24557291.476145554,1236.084535971488,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
4,,,304677.0,0.6,35000000.0,7.606121689999192,2.096073916250824,195623771.4341815,642.0693765337768
,4,0,3313.0,0.07499999999999975,11666666.666666666,7.692971522824658,2.1149984948234932,24674982.43960742,7447.927087113619,43.7,143.6,12,183.1924253684002,0
,4,1,6331.0,0.075,11666666.666666666,7.641874021037927,2.1038643491841644,24545084.07381525,3876.9679472145394,41.8,140.7,12,183.51980796816517,1
,4,2,46657.0,0.07499999999999968,11666666.666666666,7.635511114278683,2.102477871801325,24528908.50434879,525.728368826731,38.5,140.7,12,183.73432244603094,2
,4,3,90560.0,0.07500000000000018,11666666.666666666,7.493285730917285,2.0714869607668764,24167347.87561356,266.8655904992663,36.2,139.0,12,183.8146724662094,0
,4,4,48780.0,0.07499999999999993,11666666.666666666,7.511885578865821,2.0755398676348626,24214631.789073396,496.40491572516186,35.8,136.7,12,183.23946611880635,1
,4,5,72745.0,0.07500000000000032,11666666.666666666,7.628435020511837,2.1009359909695293,24510919.894644506,336.94301869055613,34.5,134.4,12,183.5553370705314,2
,4,6,16424.0,0.07500000000000001,11666666.666666666,7.594481891142612,2.0935376040799754,24424605.380933046,1487.128919930166,34.1,131.9,12,183.48435872681142,0
,4,7,19867.0,0.07500000000000007,11666666.666666666,7.646675988780789,2.104910697955334,24557291.476145558,1236.0845359714883,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
5,,,304677.0,0.5999999999999999,35000000.0,7.606121689999192,2.096073916250824,195623771.4341815,642.0693765337768
,5,0,3313.0,0.0749999999999996,11666666.666666666,7.692971522824649,2.114998494823491,24674982.439607393,7447.927087113611,43.7,143.6,12,183.1924253684002,0
,5,1,6331.0,0.07500000000000007,11666666.666666666,7.64187402103793,2.103864349184165,24545084.073815256,3876.9679472145403,41.8,140.7,12,183.51980796816517,1
,5,2,46657.0,0.07499999999999925,11666666.666666666,7.635511114278657,2.1024778718013195,24528908.504348725,525.7283688267296,38.5,140.7,12,183.73432244603094,2
,5,3,90560.0,0.07500000000000037,11666666.666666666,7.493285730917297,2.071486960766879,24167347.87561359,266.86559049926666,36.2,139.0,12,183.8146724662094,0
,5,4,48780.0,0.07499999999999989,11666666.666666666,7.5118855788658205,2.075539867634862,24214631.789073393,496.4049157251618,35.8,136.7,12,183.23946611880635,1
,5,5,72745.0,0.07500000000000061,11666666.666666666,7.628435020511855,2.1009359909695333,24510919.894644555,336.9430186905568,34.5,134.4,12,183.5553370705314,2
,5,6,16424.0,0.07499999999999994,11666666.666666666,7.594481891142609,2.0935376040799745,24424605.380933035,1487.1289199301652,34.1,131.9,12,183.48435872681142,0
,5,7,19867.0,0.07500000000000016,11666666.666666666,7.646675988780796,2.1049106979553356,24557291.47614558,1236.0845359714895,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
6,,,304677.0,0.6,35000000.0,7.606121689999192,2.096073916250824,195623771.4341815,642.0693765337768
,6,0,3313.0,0.0749999999999993,11666666.666666666,7.692971522824632,2.1149984948234875,24674982.439607352,7447.927087113599,43.7,143.6,12,183.1924253684002,0
,6,1,6331.0,0.07500000000000002,11666666.666666666,7.641874021037927,2.1038643491841644,24545084.07381525,3876.9679472145394,41.8,140.7,12,183.51980796816517,1
,6,2,46657.0,0.07499999999999853,11666666.666666666,7.635511114278613,2.1024778718013097,24528908.504348613,525.7283688267272,38.5,140.7,12,183.73432244603094,2
,6,3,90560.0,0.07500000000000077,11666666.666666666,7.493285730917321,2.0714869607668844,24167347.875613652,266.86559049926734,36.2,139.0,12,183.8146724662094,0
,6,4,48780.0,0.0749999999999999,11666666.666666666,7.5118855788658205,2.075539867634862,24214631.789073393,496.4049157251618,35.8,136.7,12,183.23946611880635,1
,6,5,72745.0,0.07500000000000119,11666666.666666666,7.6284350205118905,2.100935990969541,24510919.89464464,336.943018690558,34.5,134.4,12,183.5553370705314,2
,6,6,16424.0,0.07499999999999989,11666666.666666666,7.594481891142603,2.093537604079973,24424605.38093302,1487.1289199301643,34.1,131.9,12,183.48435872681142,0
,6,7,19867.0,0.07500000000000039,11666666.666666666,7.646675988780808,2.104910697955338,24557291.476145606,1236.0845359714908,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
7,,,304677.0,0.5999999999999999,35000000.0,7.606121689999191,2.0960739162508237,195623771.4341815,642.0693765337768
,7,0,3313.0,0.07499999999999872,11666666.666666666,7.692971522824598,2.11499849482348,24674982.439607263,7447.927087113571,43.7,143.6,12,183.1924253684002,0
,7,1,6331.0,0.07499999999999991,11666666.666666666,7.6418740210379195,2.1038643491841627,24545084.07381523,3876.9679472145363,41.8,140.7,12,183.51980796816517,1
,7,2,46657.0,0.07499999999999721,11666666.666666666,7.635511114278537,2.1024778718012933,24528908.50434842,525.7283688267231,38.5,140.7,12,183.73432244603094,2
,7,3,90560.0,0.0750000000000015,11666666.666666666,7.493285730917364,2.0714869607668938,24167347.87561376,266.86559049926854,36.2,139.0,12,183.8146724662094,0
,7,4,48780.0,0.07499999999999996,11666666.666666666,7.511885578865822,2.0755398676348626,24214631.789073396,496.40491572516186,35.8,136.7,12,183.23946611880635,1
,7,5,72745.0,0.07500000000000215,11666666.666666666,7.628435020511947,2.1009359909695533,24510919.894644786,336.94301869056,34.5,134.4,12,183.5553370705314,2
,7,6,16424.0,0.07499999999999975,11666666.666666666,7.5944818911425935,2.0935376040799714,24424605.380932998,1487.128919930163,34.1,131.9,12,183.48435872681142,0
,7,7,19867.0,0.07500000000000079,11666666.666666666,7.64667598878083,2.1049106979553427,24557291.476145662,1236.0845359714936,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
8,,,304677.0,0.6000000000000001,35000000.0,7.606121689999192,2.096073916250824,195623771.43418154,642.0693765337769
,8,0,3313.0,0.07499999999999768,11666666.666666666,7.692971522824537,2.1149984948234666,24674982.43960711,7447.927087113526,43.7,143.6,12,183.1924253684002,0
,8,1,6331.0,0.07499999999999982,11666666.666666666,7.641874021037914,2.1038643491841618,24545084.07381522,3876.967947214535,41.8,140.7,12,183.51980796816517,1
,8,2,46657.0,0.07499999999999493,11666666.666666666,7.635511114278401,2.1024778718012636,24528908.504348073,525.7283688267157,38.5,140.7,12,183.73432244603094,2
,8,3,90560.0,0.0750000000000029,11666666.666666666,7.493285730917448,2.071486960766912,24167347.875613973,266.8655904992709,36.2,139.0,12,183.8146724662094,0
,8,4,48780.0,0.07500000000000008,11666666.666666666,7.51188557886583,2.0755398676348644,24214631.789073415,496.40491572516225,35.8,136.7,12,183.23946611880635,1
,8,5,72745.0,0.07500000000000384,11666666.666666666,7.62843502051205,2.100935990969576,24510919.89464505,336.94301869056363,34.5,134.4,12,183.5553370705314,2
,8,6,16424.0,0.07499999999999946,11666666.666666666,7.594481891142574,2.093537604079967,24424605.380932946,1487.1289199301598,34.1,131.9,12,183.48435872681142,0
,8,7,19867.0,0.07500000000000137,11666666.666666666,7.6466759887808635,2.1049106979553502,24557291.47614575,1236.084535971498,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
9,,,304677.0,0.6000000000000001,35000000.0,7.60612168999919,2.0960739162508237,195623771.43418148,642.0693765337767
,9,0,3313.0,0.07499999999999583,11666666.666666666,7.6929715228244255,2.1149984948234426,24674982.43960683,7447.927087113441,43.7,143.6,12,183.1924253684002,0
,9,1,6331.0,0.07499999999999964,11666666.666666666,7.6418740210379035,2.103864349184159,24545084.07381519,3876.96794721453,41.8,140.7,12,183.51980796816517,1
,9,2,46657.0,0.07499999999999077,11666666.666666666,7.635511114278152,2.1024778718012094,24528908.50434744,525.7283688267021,38.5,140.7,12,183.73432244603094,2
,9,3,90560.0,0.07500000000000535,11666666.666666666,7.493285730917592,2.0714869607669435,24167347.87561434,266.86559049927496,36.2,139.0,12,183.8146724662094,0
,9,4,48780.0,0.07500000000000029,11666666.666666666,7.511885578865839,2.075539867634866,24214631.789073437,496.4049157251627,35.8,136.7,12,183.23946611880635,1
,9,5,72745.0,0.07500000000000691,11666666.666666666,7.628435020512235,2.100935990969616,24510919.89464552,336.94301869057006,34.5,134.4,12,183.5553370705314,2
,9,6,16424.0,0.07499999999999885,11666666.666666666,7.594481891142532,2.093537604079958,24424605.38093284,1487.1289199301534,34.1,131.9,12,183.48435872681142,0
,9,7,19867.0,0.07500000000000238,11666666.666666666,7.646675988780923,2.104910697955363,24557291.4761459,1236.0845359715056,31.9,130.2,12,183.80015252764147,1

iter,iter,beam_num,user,power[W],bandwidth[Hz],beam_CNI[dB],bps_Hz,bitrate[beam_bps],beam_bps/user,latitude,longitude,sat_radius,beam_radius,freq
10,,,304677.0,0.5999999999999999,35000000.0,7.606121689999186,2.0960739162508224,195623771.43418145,642.0693765337766
,10,0,3313.0,0.07499999999999259,11666666.666666666,7.692971522824234,2.1149984948234004,24674982.439606335,7447.927087113291,43.7,143.6,12,183.1924253684002,0
,10,1,6331.0,0.0749999999999993,11666666.666666666,7.641874021037882,2.1038643491841547,24545084.073815137,3876.9679472145217,41.8,140.7,12,183.51980796816517,1
,10,2,46657.0,0.07499999999998323,11666666.666666666,7.635511114277706,2.102477871801112,24528908.504346307,525.7283688266779,38.5,140.7,12,183.73432244603094,2
,10,3,90560.0,0.07500000000000984,11666666.666666666,7.493285730917858,2.0714869607670012,24167347.875615012,266.86559049928235,36.2,139.0,12,183.8146724662094,0
,10,4,48780.0,0.07500000000000064,11666666.666666666,7.511885578865857,2.07553986763487,24214631.789073486,496.40491572516373,35.8,136.7,12,183.23946611880635,1
,10,5,72745.0,0.07500000000001233,11666666.666666666,7.6284350205125655,2.100935990969688,24510919.894646358,336.9430186905816,34.5,134.4,12,183.5553370705314,2
,10,6,16424.0,0.07499999999999775,11666666.666666666,7.594481891142459,2.093537604079942,24424605.380932655,1487.1289199301423,34.1,131.9,12,183.48435872681142,0
,10,7,19867.0,0.07500000000000422,11666666.666666666,7.646675988781028,2.104910697955386,24557291.476146173,1236.0845359715192,31.9,130.2,12,183.80015252764147,1

